Bin Content and Error unit: (Events/[day x 100t x N_h])						
						
Nbins	N_h	Energy 	Width	Content		Error 		Residuals 
     	   	[keV] 	[keV] 	       		     		[(Data-fit)/sigma]
228	319	773.976	2.59836	0.0498003	0.00924768	0.813816
229	320	776.574	2.59944	0.0532348	0.00956124	1.19419
230	321	779.173	2.60052	0.0429313	0.00858625	0.114954
231	322	781.774	2.60161	0.034345	0.00767978	-0.465393
232	323	784.375	2.60269	0.034345	0.00767978	-0.3848
233	324	786.978	2.60377	0.0326278	0.00748532	-0.515052
234	325	789.582	2.60486	0.0377795	0.00805462	0.411955
235	326	792.187	2.60594	0.027476	0.006869	-1.15173
236	327	794.793	2.60702	0.0463658	0.00892309	1.36212
237	328	797.4	2.60811	0.0291933	0.0070804	-0.502616
238	329	800.008	2.60919	0.048083	0.00908683	1.82983
239	330	802.617	2.61028	0.027476	0.006869	-0.581645
240	331	805.227	2.61136	0.0377795	0.00805462	0.796964
241	332	807.839	2.61244	0.0240415	0.00642536	-0.816044
242	333	810.451	2.61353	0.0360623	0.00786943	1.00533
243	334	813.065	2.61461	0.0257588	0.00665088	-0.357139
244	335	815.679	2.61569	0.0377795	0.00805462	1.11863
245	336	818.295	2.61678	0.0240415	0.00642536	-0.575944
246	337	820.912	2.61786	0.034345	0.00767978	0.872585
247	338	823.53	2.61894	0.034345	0.00767978	1.02483
248	339	826.149	2.62003	0.0326278	0.00748532	0.878932
249	340	828.769	2.62111	0.0257588	0.00665088	-0.0398689
250	341	831.39	2.62219	0.0257588	0.00665088	0.00690822
251	342	834.012	2.62328	0.0240415	0.00642536	-0.0524045
252	343	836.635	2.62436	0.027476	0.006869	0.463375
253	344	839.259	2.62544	0.0240415	0.00642536	0.0176494
254	345	841.885	2.62653	0.034345	0.00767978	1.25789
255	346	844.511	2.62761	0.0240415	0.00642536	-0.019128
256	347	847.139	2.62869	0.0188898	0.00569547	-0.770929
257	348	849.768	2.62978	0.0291933	0.0070804	0.860427
258	349	852.398	2.63086	0.027476	0.006869	0.604166
259	350	855.028	2.63194	0.0291933	0.0070804	0.963498
260	351	857.66	2.63303	0.0154553	0.00515175	-1.39359
261	352	860.293	2.63411	0.0240415	0.00642536	0.19532
262	353	862.927	2.63519	0.0103035	0.00420639	-2.77992
263	354	865.563	2.63628	0.0188898	0.00569547	-0.610533
264	355	868.199	2.63736	0.020607	0.00594873	-0.381887
265	356	870.836	2.63844	0.0171725	0.00543042	-0.767757
266	357	873.475	2.63953	0.0171725	0.00543042	-0.654939
267	358	876.114	2.64061	0.020607	0.00594873	-0.0454563
268	359	878.755	2.64169	0.0257588	0.00665088	0.717289
269	360	881.397	2.64278	0.027476	0.006869	0.889107
270	361	884.039	2.64386	0.0154553	0.00515175	-1.06248
271	362	886.683	2.64494	0.0223243	0.00619163	0.270378
272	363	889.328	2.64603	0.0188898	0.00569547	-0.427678
273	364	891.974	2.64711	0.0120208	0.00454342	-1.94906
274	365	894.621	2.64819	0.0171725	0.00543042	-0.524927
275	366	897.269	2.64928	0.013738	0.00485712	-1.45035
276	367	899.919	2.65036	0.0103035	0.00420639	-2.21024
277	368	902.569	2.65144	0.0154553	0.00515175	-0.721097
278	369	905.221	2.65253	0.0188898	0.00569547	-0.0955548
279	370	907.873	2.65361	0.0120208	0.00454342	-1.65013
280	371	910.527	2.65469	0.0154553	0.00515175	-0.731794
281	372	913.181	2.65578	0.020607	0.00594873	0.0811195
282	373	915.837	2.65686	0.0188898	0.00569547	-0.281604
283	374	918.494	2.65794	0.020607	0.00594873	0.33795
284	375	921.152	2.65903	0.013738	0.00485712	-0.850637
285	376	923.811	2.66011	0.027476	0.006869	1.15095
286	377	926.471	2.6612	0.0257588	0.00665088	0.99143
287	378	929.132	2.66228	0.00858625	0.00383989	-2.70317
288	379	931.795	2.66336	0.0240415	0.00642536	0.863872
289	380	934.458	2.66445	0.0188898	0.00569547	0.103075
290	381	937.122	2.66553	0.0223243	0.00619163	0.663758
291	382	939.788	2.66661	0.0120208	0.00454342	-1.27147
292	383	942.455	2.6677	0.0103035	0.00420639	-1.85834
293	384	945.122	2.66878	0.0154553	0.00515175	-0.58638
294	385	947.791	2.66986	0.0223243	0.00619163	0.655918
295	386	950.461	2.67095	0.0154553	0.00515175	-0.521817
296	387	953.132	2.67203	0.020607	0.00594873	0.399598
297	388	955.804	2.67311	0.0188898	0.00569547	0.137148
298	389	958.477	2.6742	0.013738	0.00485712	-0.821753
299	390	961.151	2.67528	0.013738	0.00485712	-0.831831
300	391	963.826	2.67636	0.00858625	0.00383989	-2.57088
301	392	966.503	2.67745	0.0171725	0.00543042	-0.135629
302	393	969.18	2.67853	0.00515175	0.00297436	-4.17574
303	394	971.859	2.67961	0.0103035	0.00420639	-1.70265
304	395	974.538	2.6807	0.0103035	0.00420639	-1.83032
305	396	977.219	2.68178	0.020607	0.00594873	0.483435
306	397	979.901	2.68286	0.0154553	0.00515175	-0.373205
307	398	982.584	2.68395	0.0154553	0.00515175	-0.444941
308	399	985.268	2.68503	0.020607	0.00594873	0.443079
309	400	987.953	2.68611	0.0103035	0.00420639	-1.17406
310	401	990.639	2.6872	0.0257588	0.00665088	0.905633
311	402	993.326	2.68828	0.0154553	0.00515175	-0.398059
312	403	996.014	2.68936	0.0171725	0.00543042	-0.13379
313	404	998.704	2.69045	0.00858625	0.00383989	-2.4405
314	405	1001.39	2.69153	0.013738	0.00485712	-0.795245
315	406	1004.09	2.69261	0.0188898	0.00569547	0.14609
316	407	1006.78	2.6937	0.0171725	0.00543042	-0.207297
317	408	1009.47	2.69478	0.013738	0.00485712	-0.777297
318	409	1012.17	2.69586	0.0188898	0.00569547	0.183611
319	410	1014.86	2.69695	0.0171725	0.00543042	-0.0671625
320	411	1017.56	2.69803	0.027476	0.006869	1.40176
321	412	1020.26	2.69911	0.0103035	0.00420639	-1.65764
322	413	1022.96	2.7002	0.0188898	0.00569547	0.203517
323	414	1025.66	2.70128	0.020607	0.00594873	0.419441
324	415	1028.36	2.70236	0.0240415	0.00642536	0.948892
325	416	1031.06	2.70345	0.0154553	0.00515175	-0.410892
326	417	1033.76	2.70453	0.0240415	0.00642536	0.973914
327	418	1036.47	2.70561	0.0240415	0.00642536	1.02679
328	419	1039.17	2.7067	0.0223243	0.00619163	0.656377
329	420	1041.88	2.70778	0.0188898	0.00569547	0.168561
330	421	1044.59	2.70886	0.0120208	0.00454342	-1.34044
331	422	1047.3	2.70995	0.0291933	0.0070804	1.63867
332	423	1050.01	2.71103	0.0120208	0.00454342	-1.25684
333	424	1052.72	2.71211	0.0188898	0.00569547	0.11002
334	425	1055.43	2.7132	0.0154553	0.00515175	-0.382854
335	426	1058.14	2.71428	0.013738	0.00485712	-0.954617
336	427	1060.86	2.71537	0.0223243	0.00619163	0.713094
337	428	1063.57	2.71645	0.013738	0.00485712	-0.867733
338	429	1066.29	2.71753	0.0188898	0.00569547	0.136677
339	430	1069.01	2.71862	0.0171725	0.00543042	-0.155453
340	431	1071.73	2.7197	0.0309105	0.00728568	1.79832
341	432	1074.45	2.72078	0.0257588	0.00665088	1.23324
342	433	1077.17	2.72187	0.0171725	0.00543042	-0.11614
343	434	1079.89	2.72295	0.0309105	0.00728568	1.73088
344	435	1082.61	2.72403	0.0171725	0.00543042	-0.121801
345	436	1085.34	2.72512	0.027476	0.006869	1.39521
346	437	1088.06	2.7262	0.020607	0.00594873	0.381836
347	438	1090.79	2.72728	0.0188898	0.00569547	0.206813
348	439	1093.51	2.72837	0.027476	0.006869	1.36529
349	440	1096.24	2.72945	0.0120208	0.00454342	-1.15138
350	441	1098.97	2.73053	0.013738	0.00485712	-1.06866
351	442	1101.7	2.73162	0.0257588	0.00665088	1.18584
352	443	1104.43	2.7327	0.0188898	0.00569547	0.200253
353	444	1107.17	2.73378	0.0103035	0.00420639	-1.82031
354	445	1109.9	2.73487	0.020607	0.00594873	0.364485
355	446	1112.64	2.73595	0.0223243	0.00619163	0.722229
356	447	1115.37	2.73703	0.0223243	0.00619163	0.66667
357	448	1118.11	2.73812	0.020607	0.00594873	0.487796
358	449	1120.85	2.7392	0.0120208	0.00454342	-1.37643
359	450	1123.59	2.74028	0.020607	0.00594873	0.33354
360	451	1126.33	2.74137	0.0120208	0.00454342	-1.33416
361	452	1129.07	2.74245	0.0171725	0.00543042	-0.228946
362	453	1131.81	2.74353	0.020607	0.00594873	0.339437
363	454	1134.55	2.74462	0.00858625	0.00383989	-2.46995
364	455	1137.3	2.7457	0.00858625	0.00383989	-2.40911
365	456	1140.04	2.74678	0.0240415	0.00642536	0.917022
366	457	1142.79	2.74787	0.0188898	0.00569547	0.0579311
367	458	1145.54	2.74895	0.0154553	0.00515175	-0.534904
368	459	1148.29	2.75003	0.0240415	0.00642536	0.883632
369	460	1151.04	2.75112	0.020607	0.00594873	0.385175
370	461	1153.79	2.7522	0.0188898	0.00569547	0.12639
371	462	1156.54	2.75328	0.0171725	0.00543042	-0.226154
372	463	1159.29	2.75437	0.0240415	0.00642536	0.915257
373	464	1162.05	2.75545	0.0103035	0.00420639	-1.9542
374	465	1164.8	2.75653	0.013738	0.00485712	-0.926101
375	466	1167.56	2.75762	0.013738	0.00485712	-0.813769
376	467	1170.32	2.7587	0.0240415	0.00642536	0.892451
377	468	1173.08	2.75978	0.0240415	0.00642536	1.01467
378	469	1175.84	2.76087	0.0188898	0.00569547	0.169466
379	470	1178.6	2.76195	0.0223243	0.00619163	0.669042
380	471	1181.36	2.76303	0.0103035	0.00420639	-1.93074
381	472	1184.12	2.76412	0.0223243	0.00619163	0.658331
382	473	1186.89	2.7652	0.0223243	0.00619163	0.643168
383	474	1189.65	2.76629	0.013738	0.00485712	-0.984435
384	475	1192.42	2.76737	0.0120208	0.00454342	-1.23165
385	476	1195.19	2.76845	0.0223243	0.00619163	0.701753
386	477	1197.95	2.76954	0.0171725	0.00543042	-0.114138
387	478	1200.72	2.77062	0.0188898	0.00569547	0.0728048
388	479	1203.49	2.7717	0.0154553	0.00515175	-0.494915
389	480	1206.27	2.77279	0.0257588	0.00665088	1.25
390	481	1209.04	2.77387	0.0326278	0.00748532	1.90086
391	482	1211.81	2.77495	0.0188898	0.00569547	0.120142
392	483	1214.59	2.77604	0.0188898	0.00569547	0.218368
393	484	1217.36	2.77712	0.0120208	0.00454342	-1.35149
394	485	1220.14	2.7782	0.0188898	0.00569547	0.221094
395	486	1222.92	2.77929	0.0188898	0.00569547	0.060871
396	487	1225.7	2.78037	0.0120208	0.00454342	-1.26978
397	488	1228.48	2.78145	0.0103035	0.00420639	-1.51196
398	489	1231.26	2.78254	0.0154553	0.00515175	-0.477549
399	490	1234.04	2.78362	0.013738	0.00485712	-0.736112
400	491	1236.83	2.7847	0.0188898	0.00569547	0.291979
401	492	1239.61	2.78579	0.0188898	0.00569547	0.174316
402	493	1242.4	2.78687	0.0223243	0.00619163	0.726404
403	494	1245.18	2.78795	0.0188898	0.00569547	0.306327
404	495	1247.97	2.78904	0.0309105	0.00728568	1.85631
405	496	1250.76	2.79012	0.020607	0.00594873	0.603274
406	497	1253.55	2.7912	0.020607	0.00594873	0.441376
